ID,D,B,t,R,Area,wt/ft,Ix,Sx,rx,Iy,Sy,ry,xm,m,J,Cw,j,ro,xo
550T150-68,5.75,1.5,0.0713,0.1069,0.605,2.06,2.7,0.939,2.11,0.111,0.0912,0.427,0.289,0.445,0.00103,0.655,3.42,2.27,-0.698
550T150-54,5.698,1.5,0.0566,0.0849,0.48,1.63,2.13,0.747,2.11,0.0889,0.0731,0.43,0.284,0.449,0.000513,0.519,3.39,2.26,-0.704
550T150-43,5.661,1.5,0.0451,0.0712,0.383,1.3,1.69,0.596,2.1,0.0716,0.0587,0.433,0.28,0.452,0.00026,0.414,3.36,2.26,-0.709
550T150-33,5.646,1.5,0.0346,0.0764,0.294,0.999,1.29,0.459,2.1,0.0555,0.0453,0.434,0.276,0.455,0.000117,0.32,3.35,2.26,-0.714
550T150-30,5.641,1.5,0.0312,0.0781,0.265,0.901,1.17,0.414,2.1,0.0502,0.041,0.435,0.275,0.455,0.000086,0.289,3.35,2.26,-0.715
550T150-27,5.636,1.5,0.0283,0.0796,0.241,0.818,1.06,0.376,2.1,0.0456,0.0372,0.436,0.274,0.456,0.0000642,0.263,3.35,2.26,-0.716
550T125-68,5.75,1.25,0.0713,0.1069,0.569,1.94,2.41,0.839,2.06,0.0656,0.0638,0.34,0.221,0.341,0.000965,0.397,3.77,2.15,-0.526
550T125-54,5.698,1.25,0.0566,0.0849,0.452,1.54,1.9,0.668,2.05,0.053,0.0512,0.342,0.215,0.345,0.000483,0.315,3.72,2.15,-0.532
550T125-43,5.661,1.25,0.0451,0.0712,0.36,1.23,1.51,0.533,2.05,0.0428,0.0412,0.345,0.211,0.348,0.000244,0.252,3.69,2.14,-0.537
550T125-33,5.646,1.25,0.0346,0.0764,0.277,0.941,1.16,0.41,2.05,0.0332,0.0318,0.346,0.207,0.35,0.00011,0.195,3.68,2.15,-0.541
550T125-30,5.641,1.25,0.0312,0.0781,0.25,0.848,1.04,0.371,2.05,0.0301,0.0288,0.347,0.206,0.351,0.000081,0.176,3.67,2.15,-0.542
550T125-27,5.636,1.25,0.0283,0.0796,0.226,0.77,0.948,0.336,2.05,0.0273,0.0262,0.348,0.205,0.352,0.0000604,0.16,3.67,2.15,-0.543
400T200-68,4.25,2,0.0713,0.1069,0.569,1.94,1.62,0.761,1.69,0.227,0.153,0.632,0.519,0.725,0.000965,0.702,2.39,2.17,-1.21
400T200-54,4.198,2,0.0566,0.0849,0.452,1.54,1.27,0.604,1.68,0.182,0.123,0.635,0.515,0.73,0.000483,0.551,2.38,2.17,-1.22
400T200-43,4.161,2,0.0451,0.0712,0.36,1.23,1,0.482,1.67,0.146,0.0982,0.637,0.512,0.734,0.000244,0.436,2.37,2.16,-1.22
400T200-33,4.146,2,0.0346,0.0764,0.277,0.941,0.768,0.371,1.67,0.113,0.0757,0.639,0.509,0.737,0.00011,0.336,2.37,2.17,-1.23
400T150-68,4.25,1.5,0.0713,0.1069,0.498,1.69,1.31,0.615,1.62,0.102,0.0883,0.453,0.343,0.496,0.000844,0.32,2.31,1.86,-0.804
400T150-54,4.198,1.5,0.0566,0.0849,0.396,1.35,1.03,0.489,1.61,0.0822,0.0708,0.456,0.339,0.501,0.000422,0.252,2.3,1.86,-0.811
400T150-43,4.161,1.5,0.0451,0.0712,0.315,1.07,0.811,0.39,1.6,0.0662,0.0568,0.458,0.335,0.504,0.000214,0.2,2.29,1.86,-0.817
400T150-33,4.146,1.5,0.0346,0.0764,0.242,0.823,0.622,0.3,1.6,0.0513,0.0439,0.46,0.332,0.507,0.0000966,0.155,2.28,1.86,-0.821
400T150-30,4.141,1.5,0.0312,0.0781,0.218,0.742,0.561,0.271,1.6,0.0464,0.0396,0.461,0.331,0.508,0.0000708,0.14,2.28,1.86,-0.823
400T150-27,4.136,1.5,0.0283,0.0796,0.198,0.673,0.509,0.246,1.6,0.0422,0.036,0.461,0.33,0.509,0.0000529,0.127,2.28,1.86,-0.824
400T125-68,4.25,1.25,0.0713,0.1069,0.462,1.57,1.15,0.541,1.58,0.0611,0.062,0.364,0.264,0.386,0.000783,0.194,2.4,1.73,-0.614
400T125-54,4.198,1.25,0.0566,0.0849,0.367,1.25,0.904,0.431,1.57,0.0493,0.0498,0.367,0.259,0.39,0.000392,0.154,2.37,1.73,-0.621
400T125-43,4.161,1.25,0.0451,0.0712,0.293,0.995,0.716,0.344,1.56,0.0398,0.04,0.369,0.255,0.394,0.000198,0.122,2.36,1.72,-0.626
400T125-33,4.146,1.25,0.0346,0.0764,0.225,0.764,0.549,0.265,1.56,0.0309,0.0309,0.371,0.251,0.396,0.0000897,0.0946,2.35,1.73,-0.63
400T125-30,4.141,1.25,0.0312,0.0781,0.203,0.689,0.495,0.239,1.56,0.028,0.028,0.371,0.25,0.397,0.0000658,0.0855,2.35,1.73,-0.632
400T125-27,4.136,1.25,0.0283,0.0796,0.184,0.625,0.449,0.217,1.56,0.0254,0.0254,0.372,0.249,0.398,0.0000491,0.0777,2.35,1.73,-0.633
362T200-68,3.875,2,0.0713,0.1069,0.543,1.85,1.31,0.675,1.55,0.221,0.151,0.638,0.543,0.743,0.000919,0.564,2.24,2.09,-1.25
362T200-54,3.823,2,0.0566,0.0849,0.431,1.47,1.02,0.536,1.54,0.177,0.121,0.641,0.539,0.748,0.00046,0.442,2.24,2.09,-1.26
362T200-43,3.786,2,0.0451,0.0712,0.344,1.17,0.808,0.427,1.53,0.142,0.0969,0.643,0.536,0.752,0.000233,0.35,2.23,2.09,-1.27
362T200-33,3.771,2,0.0346,0.0764,0.264,0.897,0.619,0.329,1.53,0.11,0.0747,0.645,0.533,0.754,0.000105,0.269,2.23,2.09,-1.27
362T150-68,3.875,1.5,0.0713,0.1069,0.471,1.6,1.05,0.542,1.49,0.0995,0.0873,0.46,0.361,0.511,0.000799,0.257,2.1,1.77,-0.836
362T150-54,3.823,1.5,0.0566,0.0849,0.374,1.27,0.823,0.431,1.48,0.0801,0.07,0.463,0.356,0.516,0.0004,0.202,2.09,1.77,-0.844
362T150-43,3.786,1.5,0.0451,0.0712,0.298,1.01,0.65,0.344,1.48,0.0644,0.0562,0.465,0.353,0.519,0.000202,0.16,2.08,1.77,-0.85
362T150-33,3.771,1.5,0.0346,0.0764,0.229,0.779,0.499,0.264,1.48,0.0499,0.0434,0.467,0.35,0.522,0.0000914,0.124,2.08,1.77,-0.854
362T150-30,3.766,1.5,0.0312,0.0781,0.207,0.703,0.449,0.239,1.48,0.0451,0.0392,0.467,0.348,0.523,0.0000671,0.112,2.07,1.77,-0.856
362T150-27,3.761,1.5,0.0283,0.0796,0.188,0.637,0.408,0.217,1.48,0.041,0.0356,0.468,0.348,0.524,0.0000501,0.102,2.07,1.77,-0.857
362T125-68,3.875,1.25,0.0713,0.1069,0.436,1.48,0.921,0.475,1.45,0.0597,0.0613,0.37,0.277,0.399,0.000738,0.156,2.13,1.63,-0.641
362T125-54,3.823,1.25,0.0566,0.0849,0.346,1.18,0.723,0.378,1.45,0.0481,0.0493,0.373,0.273,0.404,0.000369,0.123,2.11,1.63,-0.648
362T125-43,3.786,1.25,0.0451,0.0712,0.276,0.938,0.571,0.302,1.44,0.0388,0.0396,0.375,0.269,0.407,0.000187,0.0978,2.1,1.63,-0.654
362T125-33,3.771,1.25,0.0346,0.0764,0.212,0.72,0.438,0.232,1.44,0.0301,0.0306,0.377,0.266,0.409,0.0000845,0.0756,2.09,1.63,-0.658
362T125-30,3.766,1.25,0.0312,0.0781,0.191,0.649,0.395,0.21,1.44,0.0273,0.0277,0.378,0.265,0.41,0.000062,0.0684,2.09,1.63,-0.659
362T125-27,3.761,1.25,0.0283,0.0796,0.173,0.589,0.358,0.191,1.44,0.0248,0.0252,0.378,0.264,0.411,0.0000463,0.0622,2.09,1.63,-0.661
362T125-18,3.747,1.25,0.0188,0.0843,0.115,0.392,0.238,0.127,1.44,0.0167,0.0168,0.38,0.261,0.413,0.0000136,0.0416,2.08,1.63,-0.665
350T200-68,3.75,2,0.0713,0.1069,0.534,1.81,1.21,0.647,1.51,0.218,0.151,0.64,0.552,0.749,0.000904,0.522,2.2,2.07,-1.26
350T200-54,3.698,2,0.0566,0.0849,0.424,1.44,0.949,0.513,1.5,0.175,0.12,0.642,0.548,0.754,0.000453,0.409,2.19,2.07,-1.27
350T200-43,3.661,2,0.0451,0.0712,0.338,1.15,0.749,0.409,1.49,0.14,0.0965,0.645,0.545,0.758,0.000229,0.323,2.19,2.07,-1.28
350T200-33,3.646,2,0.0346,0.0764,0.259,0.882,0.574,0.315,1.49,0.108,0.0744,0.647,0.542,0.761,0.000104,0.249,2.19,2.07,-1.29
350T150-68,3.75,1.5,0.0713,0.1069,0.462,1.57,0.972,0.518,1.45,0.0986,0.087,0.462,0.367,0.516,0.000783,0.238,2.04,1.74,-0.847
350T150-54,3.698,1.5,0.0566,0.0849,0.367,1.25,0.761,0.412,1.44,0.0793,0.0697,0.465,0.362,0.521,0.000392,0.187,2.02,1.74,-0.855
350T150-43,3.661,1.5,0.0451,0.0712,0.293,0.995,0.601,0.329,1.43,0.0638,0.0559,0.467,0.359,0.525,0.000198,0.148,2.01,1.74,-0.861
350T150-33,3.646,1.5,0.0346,0.0764,0.225,0.764,0.461,0.253,1.43,0.0494,0.0432,0.469,0.356,0.527,0.0000897,0.114,2.01,1.74,-0.866
350T150-30,3.641,1.5,0.0312,0.0781,0.203,0.689,0.416,0.228,1.43,0.0447,0.039,0.47,0.355,0.528,0.0000658,0.103,2.01,1.74,-0.867
350T150-27,3.636,1.5,0.0283,0.0796,0.184,0.625,0.377,0.207,1.43,0.0406,0.0355,0.47,0.354,0.529,0.0000491,0.0939,2.01,1.74,-0.869
